Experiment ID,Crab ID,Date,Trial Day ,Egg Development Stage ,Number of Nicothoid Eggs Total
LifeCycle-002,ANT-GAV-002,04/06/2022,1,E,7
LifeCycle-002,ANT-GAV-002,04/07/2022,2,E,11
LifeCycle-002,ANT-GAV-002,04/08/2022,3,E,14
LifeCycle-002,ANT-GAV-002,04/09/2022,4,E,23
LifeCycle-002,ANT-GAV-002,04/10/2022,5,E,27
LifeCycle-002,ANT-GAV-002,04/11/2022,6,E,20
LifeCycle-002,ANT-GAV-002,04/12/2022,7,E,32
LifeCycle-002,ANT-GAV-002,04/13/2022,8,E,30
LifeCycle-002,ANT-GAV-002,04/14/2022,9,E,52
LifeCycle-002,ANT-GAV-002,04/15/2022,10,E,48
LifeCycle-002,ANT-GAV-002,04/16/2022,11,F,23
LifeCycle-002,ANT-GAV-002,04/17/2022,12,F,34
LifeCycle-002,ANT-GAV-002,04/18/2022,13,G,29
LifeCycle-002,ANT-GAV-002,04/19/2022,14,G,37
LifeCycle-003,ANT-GAV-006,04/08/2022,1,E,12
LifeCycle-003,ANT-GAV-006,04/09/2022,2,E,19
LifeCycle-003,ANT-GAV-006,04/10/2022,3,E,22
LifeCycle-003,ANT-GAV-006,04/11/2022,4,E,29
LifeCycle-003,ANT-GAV-006,04/12/2022,5,E,41
LifeCycle-003,ANT-GAV-006,04/13/2022,6,E,40
LifeCycle-003,ANT-GAV-006,04/14/2022,7,F,83
LifeCycle-003,ANT-GAV-006,04/15/2022,8,F,87
LifeCycle-003,ANT-GAV-006,04/16/2022,9,F,36
LifeCycle-003,ANT-GAV-006,04/17/2022,10,G,77
LifeCycle-003,ANT-GAV-006,04/18/2022,11,H,84
LifeCycle-003,ANT-GAV-006,04/19/2022,12,I,110
LifeCycle-004,ANT-GAV-001,04/08/2022,1,E,12
LifeCycle-004,ANT-GAV-001,04/09/2022,2,E,12
LifeCycle-004,ANT-GAV-001,04/10/2022,3,E,14
LifeCycle-004,ANT-GAV-001,04/11/2022,4,E,18
LifeCycle-004,ANT-GAV-001,04/12/2022,5,E,11
LifeCycle-005,ANT-GAV-001,04/14/2022,1,E,63
LifeCycle-005,ANT-GAV-001,04/15/2022,2,E,57
LifeCycle-006,ANT-GAV-001,04/17/2022,1,F,112
LifeCycle-006,ANT-GAV-001,04/18/2022,2,F,143
LifeCycle-006,ANT-GAV-001,04/19/2022,3,F,172
LifeCycle-007,ANT-GAV-007,04/25/2022,1,J,48
LifeCycle-007,ANT-GAV-007,04/26/2022,2,J,66
LifeCycle-007,ANT-GAV-007,04/27/2022,3,K,55
LifeCycle-008,ANT-GAV-005,04/27/2022,1,E,30
LifeCycle-008,ANT-GAV-005,04/28/2022,2,E,31
LifeCycle-008,ANT-GAV-005,04/29/2022,3,F,35
LifeCycle-008,ANT-GAV-005,04/30/2022,4,F,40
LifeCycle-008,ANT-GAV-005,05/01/2022,5,F,36
LifeCycle-008,ANT-GAV-005,05/02/2022,6,G,34
LifeCycle-008,ANT-GAV-005,05/03/2022,7,G,36
LifeCycle-009,ANT-GAV-005,04/30/2022,1,F,50
LifeCycle-009,ANT-GAV-005,05/01/2022,2,G,52
LifeCycle-009,ANT-GAV-005,05/02/2022,3,G,50
LifeCycle-009,ANT-GAV-005,05/03/2022,4,G,45
LifeCycle-009,ANT-GAV-005,05/04/2022,5,H,60
LifeCycle-009,ANT-GAV-005,05/05/2022,6,I ,45
LifeCycle-009,ANT-GAV-005,05/06/2022,7,I ,20
LifeCycle-009,ANT-GAV-005,05/07/2022,8,I ,27
LifeCycle-011,ANT-GAV-006,05/01/2022,1,M,15
LifeCycle-011,ANT-GAV-006,05/02/2022,2,M,10
LifeCycle-012,ANT-GAV-005,05/03/2022,1,G,82
LifeCycle-012,ANT-GAV-005,05/04/2022,2,H,50
LifeCycle-012,ANT-GAV-005,05/05/2022,3,I,62
LifeCycle-014,ANT-GAV-005,05/05/2022,1,I,54
LifeCycle-014,ANT-GAV-005,05/06/2022,2,I,52
LifeCycle-014,ANT-GAV-005,05/07/2022,3,I,60
LifeCycle-016,ANT-GAV-005,05/07/2022,1,J,184
LifeCycle-016,ANT-GAV-005,05/08/2022,2,J,169
LifeCycle-016,ANT-GAV-005,05/09/2022,3,J,166