Experiment ID ,Crab ID,Date,Egg Development Stage ,Pleopod Number,Total number crab eggs,Number viable crab eggs,Number nonviable crab eggs,Number Adult Copepods,Number Juvenile Copepods,Number Copepod Eggs,Number Nemerteans
Autoinfection-001,ANT-GAV-001,04/05/2022,D,2,1256,1227,29,16,5,8,3
Autoinfection-029,ANT-GAV-001,04/11/2022,E,2,1190,1170,20,27,6,350,0
Autoinfection-043,ANT-GAV-001,04/14/2022,E,2,993,982,11,26,0,345,0
Autoinfection-057,ANT-GAV-001,04/17/2022,F,2,1065,1033,32,21,0,847,0
Autoinfection-070,ANT-GAV-001,04/20/2022,I,2,1158,1157,1,12,0,437,0
Autoinfection-081,ANT-GAV-001,04/23/2022,I,2,1005,790,215,18,0,847,0
Autoinfection-090,ANT-GAV-001,04/26/2022,I,2,1020,674,394,25,3,1159,0
Autoinfection-100,ANT-GAV-001,04/29/2022,I,2,1881,718,880,40,702,2671,0
Autoinfection-121,ANT-GAV-001,05/08/2022,K,2,1096,662,319,0,0,500,0
Autoinfection-002,ANT-GAV-002,04/05/2022,D,2,979,965,14,1,0,0,1
Autoinfection-016,ANT-GAV-002,04/08/2022,D,2,1056,1051,5,2,0,4,0
Autoinfection-030,ANT-GAV-002,4/11/2022,E,2,1060,1042,18,7,0,118,0
Autoinfection-044,ANT-GAV-002,04/14/2022,F,2,1003,994,9,2,0,74,1
Autoinfection-058,ANT-GAV-002,04/17/2022,G,2,1041,1030,11,5,0,312,0
Autoinfection-071,ANT-GAV-002,04/20/2022,H,2,1106,1105,1,3,2,137,0
Autoinfection-082,ANT-GAV-002,04/23/2022,I,2,1004,986,24,2,0,138,0
Autoinfection-091,ANT-GAV-002,04/26/2022,I,2,1040,971,69,5,0,208,0
Autoinfection-101,ANT-GAV-002,04/29/2022,J,2,991,960,31,2,0,57,0
Autoinfection-003,ANT-GAV-003,04/05/2022,C,2,1204,1198,6,0,0,0,0
Autoinfection-017,ANT-GAV-003,04/08/2022,D,2,1019,1019,0,0,1,0,0
Autoinfection-031,ANT-GAV-003,4/11/2022,E,2,1062,1058,4,0,2,0,0
Autoinfection-045,ANT-GAV-003,04/14/2022,E,2,1042,1029,13,1,0,8,0
Autoinfection-059,ANT-GAV-003,04/17/2022,F,2,1196,1187,11,0,1,2,0
Autoinfection-072,ANT-GAV-003,04/20/2022,G,2,1015,904,11,1,0,16,0
Autoinfection-102,ANT-GAV-003,04/29/2022,I,2,1016,1009,7,1,2,6,0
Autoinfection-018,ANT-GAV-004,04/08/2022,F,2,1052,1049,3,0,0,2,3
Autoinfection-032,ANT-GAV-004,4/11/2022,I,2,1061,1055,6,0,19,12,0
Autoinfection-046,ANT-GAV-004,04/14/2022,I,2,1052,1040,12,0,1,45,0
Autoinfection-060,ANT-GAV-004,04/17/2022,I,2,1005,981,25,0,0,46,1
Autoinfection-073,ANT-GAV-004,04/20/2022,J,2,1029,1019,10,2,0,57,0
Autoinfection-084,ANT-GAV-004,04/23/2022,K,2,1052,928,24,0,0,31,0
Autoinfection-005,ANT-GAV-005,04/05/2022,A,2,1149,1144,5,0,7,0,1
Autoinfection-019,ANT-GAV-005,04/08/2022,B,2,1133,1118,15,0,9,0,2
Autoinfection-033,ANT-GAV-005,4/11/2022,D,2,1050,1039,11,0,12,0,6
Autoinfection-061,ANT-GAV-005,04/17/2022,D,2,1179,1150,29,0,11,0,1
Autoinfection-074,ANT-GAV-005,4/20/2022,E,2,1063,1041,22,4,3,4,4
Autoinfection-085,ANT-GAV-005,4/23/2022,E,2,1071,1028,43,1,1,11,2
Autoinfection-093,ANT-GAV-005,4/26/2022,E,2,1023,992,31,6,1,24,3
Autoinfection-103,ANT-GAV-005,4/29/2022,E,2,1051,1011,40,9,0,79,0
Autoinfection-108,ANT-GAV-005,05/02/2022,F,2,998,974,23,19,6,497,0
Autoinfection-117,ANT-GAV-005,05/05/2022,G,2,1029,1015,14,14,0,291,1
Autoinfection-123,ANT-GAV-005,05/08/2022,I,2,1009,953,56,22,0,766,1
Autoinfection-126,ANT-GAV-005,05/11/2022,J,2,1004,905,99,12,14,1174,2
Autoinfection-130,ANT-GAV-005,05/14/2022,K,2,1048,1037,11,4,50,664,1
Autoinfection-134,ANT-GAV-005,05/17/2022,L,2,991,964,27,4,171,565,2
Autoinfection-138,ANT-GAV-005,05/20/2022,L,2,1032,966,53,3,0,274,0
Autoinfection-006,ANT-GAV-006,04/06/2022,D,2,1035,1023,13,3,2,0,5
Autoinfection-020,ANT-GAV-006,04/09/2022,E,2,1115,1089,26,4,2,13,7
Autoinfection-034,ANT-GAV-006,04/12/2022,E,2,1027,1017,10,2,0,17,0
Autoinfection-048,ANT-GAV-006,04/15/2022,F,2,584,336,7,4,0,78,1
Autoinfection-062,ANT-GAV-006,04/18/2022,G,2,894,883,11,4,0,96,1
Autoinfection-075,ANT-GAV-006,04/21/2022,I,2,1020,1001,19,2,0,95,2
Autoinfection-086,ANT-GAV-006,4/24/2022,I,2,1003,974,29,2,2,133,1
Autoinfection-097,ANT-GAV-006,04/27/2022,J,2,1205,1173,32,4,6,154,0
Autoinfection-104,ANT-GAV-006,4/30/2022,K,2,1024,981,43,1,11,161,2
Autoinfection-021,ANT-GAV-007,04/09/2022,E,2,1024,1003,21,2,0,49,1
Autoinfection-035,ANT-GAV-007,04/12/2022,F,2,1012,1010,2,5,0,27,0
Autoinfection-076,ANT-GAV-007,04/21/2022,J,2,1053,1029,24,6,0,94,0
Autoinfection-087,ANT-GAV-007,4/24/2022,J,2,1112,1084,28,8,5,385,0
Autoinfection-096,ANT-GAV-007,04/27/2022,K,2,1030,1015,15,2,20,110,0
Autoinfection-008,ANT-GAV-008,04/06/2022,I,2,1064,1059,5,0,0,12,0
Autoinfection-022,ANT-GAV-008,04/09/2022,I,2,1001,980,21,0,0,5,1
Autoinfection-036,ANT-GAV-008,04/12/2022,J,2,1015,1015,0,0,4,11,0
Autoinfection-050,ANT-GAV-008,04/15/2022,K,2,1094,1078,16,0,2,10,0
Autoinfection-009,ANT-GAV-009,04/06/2022,J,2,1005,970,35,0,1,4,6
Autoinfection-037,ANT-GAV-009,04/12/2022,K,2,1056,1025,31,0,2,8,0
Autoinfection-010,ANT-GAV-010,04/07/2022,G,2,1105,1098,7,0,1,0,0
Autoinfection-024,ANT-GAV-010,04/10/2022,G,2,1022,1019,3,0,0,8,0
Autoinfection-038,ANT-GAV-010,04/13/2022,I,2,1074,1040,34,0,0,12,0
Autoinfection-052,ANT-GAV-010,04/16/2022,J,2,1042,1031,11,1,1,15,0
Autoinfection-065,ANT-GAV-010,04/19/2022,J,2,1012,980,32,0,6,15,1
Autoinfection-025,ANT-GAV-012,04/10/2022,F,2,1009,993,16,2,0,6,2
Autoinfection-039,ANT-GAV-012,04/13/2022,F,2,851,831,20,0,0,38,0
Autoinfection-053,ANT-GAV-012,04/16/2022,G,2,1125,1090,43,1,0,69,1
Autoinfection-066,ANT-GAV-012,04/19/2022,I,2,1000,940,60,2,5,43,1
Autoinfection-078,ANT-GAV-012,04/22/2022,J,2,1089,1050,39,2,12,60,0
Autoinfection-098,ANT-GAV-012,04/28/2022,L,2,1101,966,135,3,22,75,0
Autoinfection-012,ANT-GAV-013,04/07/2022,F,2,984,978,6,0,0,1,0
Autoinfection-026,ANT-GAV-013,04/10/2022,F,2,1085,1077,8,1,0,15,0
Autoinfection-054,ANT-GAV-013,04/16/2022,F,2,1046,1035,11,0,0,23,0
Autoinfection-067,ANT-GAV-013,04/19/2022,I,2,1084,1067,17,2,7,43,0
Autoinfection-099,ANT-GAV-013,04/28/2022,K,2,1019,1009,10,1,18,26,0
Autoinfection-013,ANT-GAV-014,04/07/2022,J,2,1025,1001,24,4,4,37,0
Autoinfection-027,ANT-GAV-014,04/10/2022,J,2,1045,1013,32,1,5,172,0
Autoinfection-041,ANT-GAV-014,04/13/2022,K,2,987,980,7,5,7,208,0
Autoinfection-014,ANT-GAV-015,04/07/2022,G,2,1082,1052,30,1,0,17,0
Autoinfection-028,ANT-GAV-015,04/10/2022,H,2,1027,997,30,2,0,83,0
Autoinfection-056,ANT-GAV-015,04/16/2022,J,2,1003,957,46,1,0,37,0
Autoinfection-069,ANT-GAV-015,04/19/2022,L,2,1017,984,33,4,13,355,0